frame_nmr,vehicle_id,vehicle_bbox,license_plate_bbox,license_plate_bbox_score
12,1.0,[354.3813786602724 722.5523291969212 699.7358228889549 1042.055724798654],[449.4101257324219 916.30517578125 589.0862426757812 988.264892578125],0.5660544037818909
41,5.0,[1113.6197242029325 684.247297244935 1438.263305993241 1012.2406975625568],[1231.906005859375 895.4674682617188 1332.3896484375 953.4443359375],0.504050612449646
47,5.0,[1114.3207201966484 696.8124464668465 1446.8777215810678 1039.5230124247885],[1236.0518798828125 918.9373779296875 1339.9075927734375 975.3735961914062],0.5068545937538147
77,30.0,[1115.6818438833025 650.4147594111892 1397.5167511428167 902.0152945531281],[1142.2471923828125 654.4991455078125 1378.48291015625 736.37255859375],0.688957154750824
125,30.0,[1124.335278277743 797.1755494045286 1474.3764920388242 1074.9889394297538],[1151.7523193359375 800.3543701171875 1435.243896484375 899.3111572265625],0.5217147469520569
128,8.0,[558.6794386062362 548.8646658701446 805.6318090712174 762.4235925243695],[633.991455078125 660.7247314453125 726.2747802734375 725.2724609375],0.6397773027420044
150,30.0,[1130.5018610523653 888.4228105708855 1518.917702304424 1082.2407805782793],[1167.847900390625 893.9751586914062 1453.7919921875 1020.2395629882812],0.6395080089569092
151,30.0,[1131.4499825825467 892.116809809759 1521.6874347265518 1081.8664046219644],[1167.3505859375 894.5828247070312 1460.523681640625 1023.6192626953125],0.5968989133834839
153,7.0,[1023.4117147683831 642.8680227285547 1328.1121517193185 901.0838726295783],[1133.32470703125 788.8494873046875 1239.091552734375 864.0919189453125],0.6395602822303772
168,7.0,[1028.2620474872024 675.6922022426137 1343.6906776297615 946.3730818799958],[1140.84716796875 834.9431762695312 1256.550048828125 906.4755249023438],0.5725235342979431
179,7.0,[1033.4399741224165 705.8025142991772 1358.4415909295376 985.2121694125523],[1153.646484375 876.5623168945312 1263.3131103515625 940.1982421875],0.5334905385971069
181,8.0,[493.2453477941958 645.0847744171938 775.0309289225208 890.8006120598468],[581.0848388671875 779.6495361328125 688.8717041015625 853.75927734375],0.5398247838020325
204,8.0,[456.5426925109988 703.166432549201 759.9955137699211 968.2998869962272],[552.9069213867188 850.7601928710938 653.4442749023438 912.5059204101562],0.522463321685791
241,21.0,[1131.4950330497823 700.9427825935229 1434.1703036960603 952.8724782420156],[1157.35302734375 708.5634155273438 1395.232666015625 797.2503662109375],0.516832709312439
283,217.0,[1171.7012879559938 620.1635674087559 1463.2109043585965 886.8111303189198],[1285.6680908203125 753.0448608398438 1365.6112060546875 817.3694458007812],0.6437996625900269
287,217.0,[1174.362795379584 627.7455012686856 1470.657644266284 898.1006334517805],[1286.413818359375 760.4855346679688 1361.1800537109375 825.3788452148438],0.5738050937652588
289,21.0,[1165.8417495882911 865.0697532163539 1533.3381810868439 1082.9823992437682],[1198.9332275390625 885.3392944335938 1470.982177734375 988.1918334960938],0.5923934578895569
293,217.0,[1177.2679637515266 639.2405057105027 1480.2430448487885 912.5312057004444],[1290.1307373046875 780.8208618164062 1371.863525390625 850.6854858398438],0.7852341532707214
296,217.0,[1179.6154955930192 644.8935481063877 1485.7500958617507 924.7456677739005],[1288.1551513671875 791.8153076171875 1378.62939453125 856.7122802734375],0.7398062944412231
